str_order	occ_cur	T_mean_sum	T_inertia	unique_id	featureid
1	0.997614403225205	12.1617785884463	284.33909999068	0	201473434
1	0.997614403225205	12.1617785884463	284.33909999068	1	201473434
1	0.993610165962348	14.5957193397324	204.635451375271	2	201473435
1	0.993610165962348	14.5957193397324	204.635451375271	3	201473435
1	0.993523631523513	12.002792300892	331.239499150255	4	201473448
2	0.994290416719952	14.2672062857537	187.496307186872	6	201473449
2	0.99176957594041	14.7603246006792	178.951067800789	5	201473554
1	0.995044662024681	13.9085192063649	222.73226096732	7	201473555
2	0.993192742163877	14.2144258141789	226.618856174478	8	201473682
1	0.974407002908015	16.4050560343994	173.570655358716	9	201473683
2	0.995349311815315	12.0428031573743	348.415577207594	12	201473794
1	0.995349311815315	12.0428031573743	348.415577207594	14	201473794
2	0.995349311815315	12.0428031573743	348.415577207594	10	201473794
2	0.995349311815315	12.0428031573743	348.415577207594	11	201473794
1	0.995349311815315	12.0428031573743	348.415577207594	15	201473794
2	0.995349311815315	12.0428031573743	348.415577207594	13	201473794
1	0.994800514807101	12.8050821942986	306.581286865674	16	201473795
1	0.983547465551982	15.7028440971321	183.713530590282	17	201473806
2	0.987105584112608	14.3662197060766	205.633661430831	21	201473815
2	0.987105584112608	14.3662197060766	205.633661430831	19	201473815
1	0.994227954198191	13.1350999117068	261.469561789434	18	201473826
1	0.962956660966716	12.644043247066	341.362163481804	22	201473846
1	0.962956660966716	12.644043247066	341.362163481804	23	201473846
1	0.992330826189346	12.5861879730187	296.761973870652	24	201473847
1	0.992330826189346	12.5861879730187	296.761973870652	25	201473847
2	0.992906181229173	13.7202350590471	268.982639211871	28	201473895
2	0.992906181229173	13.7202350590471	268.982639211871	27	201473895
2	0.992906181229173	13.7202350590471	268.982639211871	26	201473895
1	0.987026589888986	12.8465242881445	330.898642768611	31	201473896
1	0.987026589888986	12.8465242881445	330.898642768611	30	201473896
2	0.987026589888986	12.8465242881445	330.898642768611	29	201473896
2	0.988919228492634	13.7539608418375	270.815905807537	36	201474006
2	0.988919228492634	13.7539608418375	270.815905807537	37	201474006
3	0.988919228492634	13.7539608418375	270.815905807537	35	201474006
3	0.988919228492634	13.7539608418375	270.815905807537	34	201474006
1	0.988919228492634	13.7539608418375	270.815905807537	33	201474006
1	0.988919228492634	13.7539608418375	270.815905807537	32	201474006
2	0.988919228492634	13.7539608418375	270.815905807537	20	201474006
3	0.993339833193084	13.038995006816	323.443302388239	39	201474007
4	0.989687251990592	13.384914384463	295.65245724617	38	201474093
1	0.949897857062058	16.5636051302017	173.013807335429	42	201474113
2	0.971048288812374	13.9905820576914	277.639551464063	41	201474114
1	0.938365624676161	15.0410879395098	183.465306000626	43	201474132
1	0.938365624676161	15.0410879395098	183.465306000626	44	201474132
2	0.938365624676161	15.0410879395098	183.465306000626	40	201474132
1	0.352450950474966	17.5051707192797	188.001788951613	47	201474168
2	0.947601193933043	14.1717250246954	269.54608848651	46	201474169
1	0.947601193933043	14.1717250246954	269.54608848651	48	201474169
2	0.947601193933043	14.1717250246954	269.54608848651	49	201474169
4	0.964335018106391	15.7679159245369	168.553732568557	50	201474179
1	0.85047583682842	15.1242919244518	174.090336649015	51	201474184
1	0.99084113896223	12.686246213511	322.962642422689	52	201474332
1	0.985557952730367	13.2059720492966	315.374319259491	53	201474333
1	0.985557952730367	13.2059720492966	315.374319259491	54	201474333
